cut_off	num_rel	true_recall	SWIFT	SWIFT+forget0.1	SWIFT+forget0.2	SWIFT+forget0.5
30	8	0.0975609756097561	0.010143507578888327	0.009673518742442563	0.009768009768009768	0.010050251256281407
60	13	0.15853658536585366	0.01652128704304113	0.01566265060240964	0.01570048309178744	0.015834348355663823
90	24	0.2926829268292683	0.018610061064262867	0.017712177121771217	0.01762114537444934	0.017341040462427744
120	30	0.36585365853658536	0.04782237403974163	0.04504504504504504	0.045180722891566265	0.04552352048558422
150	39	0.47560975609756095	0.02745995423349194	0.026351351351351353	0.02638700947225981	0.026476578411405296
180	43	0.524390243902439	0.08612919379174379	0.08143939393939394	0.08237547892720307	0.08548707753479125
210	48	0.5853658536585366	0.07628128724743247	0.07207207207207207	0.07239819004524888	0.07339449541284404
240	51	0.6219512195121951	0.11230388109000827	0.10429447852760736	0.10408163265306122	0.10303030303030303
270	59	0.7195121951219512	0.06233491811971677	0.059475806451612906	0.0597165991902834	0.06038894575230297
300	59	0.7195121951219512	0.1517928927504451	0.14496314496314497	0.14898989898989898	0.16298342541436464
330	65	0.7926829268292683	0.06464445566996997	0.06149479659413434	0.06143667296786389	0.06132075471698113
360	72	0.8780487804878049	0.10760475944216791	0.10241820768136557	0.10344827586206896	0.10666666666666667
390	72	0.8780487804878049	0.20776008656669698	0.19889502762430938	0.20512820512820512	0.22641509433962265
420	78	0.9512195121951219	0.07576033509412258	0.07195571955719557	0.07169117647058823	0.07103825136612021
450	78	0.9512195121951219	0.19225204951250588	0.18266978922716628	0.18660287081339713	0.19948849104859334
480	78	0.9512195121951219	0.28427564379856135	0.2727272727272727	0.28363636363636363	0.32098765432098764
510	79	0.9634146341463414	0.339192271577387	0.32510288065843623	0.33760683760683763	0.37799043062200954
540	80	0.975609756097561	0.4041556325242326	0.38095238095238093	0.3902439024390244	0.41025641025641024
570	82	1.0	0.46121965661747405	0.41624365482233505	0.4079601990049751	0.3867924528301887
600	82	1.0	0.5061728395254563	0.4632768361581921	0.4659090909090909	0.47126436781609193
630	82	1.0	0.5442023494532711	0.5061728395061729	0.5157232704402516	0.5503355704697986
660	82	1.0	0.5767934013909674	0.543046357615894	0.5616438356164384	0.6212121212121212
690	82	1.0	0.6050347222500322	0.5774647887323944	0.6029411764705882	0.6890756302521008
720	82	1.0	0.6297426317758332	0.6074074074074074	0.640625	0.7454545454545455
750	82	1.0	0.6515412598447302	0.6356589147286822	0.6721311475409836	0.7884615384615384
780	82	1.0	0.6709158303950762	0.656	0.7008547008547008	0.8282828282828283
810	82	1.0	0.6882493775794878	0.6776859504132231	0.7321428571428571	0.8631578947368421
840	82	1.0	0.7038483443548461	0.7008547008547008	0.7522935779816514	0.8913043478260869
870	82	1.0	0.7179606385020425	0.7192982456140351	0.7735849056603774	0.9111111111111111
900	82	1.0	0.7307891536251501	0.7321428571428571	0.7961165048543689	0.9318181818181818
930	82	1.0	0.7425014148696101	0.7522935779816514	0.8118811881188119	0.9425287356321839
960	82	1.0	0.7532370687167098	0.7663551401869159	0.8282828282828283	0.9534883720930233
990	82	1.0	0.7631133672190014	0.780952380952381	0.845360824742268	0.9647058823529412
1020	82	1.0	0.7722295516509411	0.7884615384615384	0.8631578947368421	0.9647058823529412
1050	82	1.0	0.780670041020487	0.803921568627451	0.8723404255319149	0.9761904761904762
1080	82	1.0	0.7885073600768776	0.8118811881188119	0.8817204301075269	0.9761904761904762
1110	82	1.0	0.7958038445551552	0.82	0.8913043478260869	0.9761904761904762
1140	82	1.0	0.8026137411699128	0.8367346938775511	0.9010989010989011	0.9879518072289156
1170	82	1.0	0.8089840657068175	0.845360824742268	0.9111111111111111	0.9879518072289156
1200	82	1.0	0.8149560266382042	0.845360824742268	0.9213483146067416	0.9879518072289156
1230	82	1.0	0.820565880028738	0.8541666666666666	0.9213483146067416	0.9879518072289156
1260	82	1.0	0.8258456338153413	0.8631578947368421	0.9318181818181818	0.9879518072289156
1290	82	1.0	0.8308235731548482	0.8723404255319149	0.9318181818181818	0.9879518072289156
1320	82	1.0	0.8355248679547186	0.8817204301075269	0.9425287356321839	1.0
1350	82	1.0	0.8399718632389114	0.8817204301075269	0.9425287356321839	1.0
1380	82	1.0	0.8441847217514725	0.8913043478260869	0.9534883720930233	1.0
1410	82	1.0	0.8481815428179597	0.8913043478260869	0.9534883720930233	1.0
1440	82	1.0	0.8519783661248445	0.9010989010989011	0.9534883720930233	1.0
1470	82	1.0	0.8555899389034288	0.9010989010989011	0.9647058823529412	1.0
1500	82	1.0	0.859029472192342	0.9111111111111111	0.9647058823529412	1.0
1530	82	1.0	0.8623089680434873	0.9111111111111111	0.9647058823529412	1.0
1560	82	1.0	0.8654392570738701	0.9213483146067416	0.9647058823529412	1.0
1590	82	1.0	0.8684305646498632	0.9213483146067416	0.9761904761904762	1.0
1620	82	1.0	0.8712916799850714	0.9213483146067416	0.9761904761904762	1.0
1650	82	1.0	0.8740310078111503	0.9318181818181818	0.9761904761904762	1.0
1680	82	1.0	0.8766561621090606	0.9318181818181818	0.9761904761904762	1.0
1710	82	1.0	0.8791741257861225	0.9318181818181818	0.9761904761904762	1.0
1740	82	1.0	0.8815913592756939	0.9318181818181818	0.9761904761904762	1.0
1770	82	1.0	0.8839137645713833	0.9425287356321839	0.9761904761904762	1.0
1800	82	1.0	0.8861468206164339	0.9425287356321839	0.9879518072289156	1.0
1830	82	1.0	0.8882956372669686	0.9425287356321839	0.9879518072289156	1.0
1860	82	1.0	0.8903647481103413	0.9425287356321839	0.9879518072289156	1.0
