cut_off	num_rel	true_recall	SWIFT	SWIFT+forget0.1	SWIFT+forget0.2	SWIFT+forget0.5
30	7	0.03365384615384615	0.012121212121290649	0.011345218800648298	0.011345218800648298	0.011363636363636364
60	13	0.0625	0.017023134002691356	0.016049382716049384	0.016049382716049384	0.015990159901599015
90	25	0.1201923076923077	0.018406714769573715	0.017618040873854827	0.017605633802816902	0.017568517217146872
120	36	0.17307692307692307	0.031802120141411226	0.030252100840336135	0.030176026823134954	0.029950083194675542
150	46	0.22115384615384615	0.06374501992060291	0.06036745406824147	0.06060606060606061	0.06141522029372497
180	57	0.27403846153846156	0.05075690115761355	0.04838709677419355	0.048305084745762714	0.04810126582278481
210	66	0.3173076923076923	0.11976549413811524	0.11205432937181664	0.11186440677966102	0.11073825503355705
240	77	0.3701923076923077	0.0942472460223685	0.08932714617169374	0.08932714617169374	0.08932714617169374
270	88	0.4230769230769231	0.09373335700363433	0.08961303462321792	0.09007164790174002	0.09157127991675339
300	96	0.46153846153846156	0.16026711185397396	0.15165876777251186	0.1523809523809524	0.15483870967741936
330	102	0.49038461538461536	0.1707112970711297	0.1619047619047619	0.16293929712460065	0.16639477977161501
360	105	0.5048076923076923	0.30085959885707514	0.2807486631016043	0.2807486631016043	0.28150134048257375
390	113	0.5432692307692307	0.20552248677369708	0.19382504288164665	0.19415807560137457	0.19516407599309155
420	122	0.5865384615384616	0.1884008236110295	0.1781021897810219	0.1783625730994152	0.17914831130690162
450	124	0.5961538461538461	0.3587270974000549	0.33604336043360433	0.33695652173913043	0.33879781420765026
480	129	0.6201923076923077	0.26801981780586526	0.251953125	0.251953125	0.25146198830409355
510	135	0.6490384615384616	0.2955433932780925	0.27835051546391754	0.27892561983471076	0.2818371607515658
540	138	0.6634615384615384	0.3954694323182752	0.3719676549865229	0.375	0.3812154696132597
570	138	0.6634615384615384	0.53287567882246	0.5073529411764706	0.5168539325842697	0.5476190476190477
600	142	0.6826923076923077	0.5300834431269166	0.49477351916376305	0.4930555555555556	0.4896551724137931
630	147	0.7067307692307693	0.29552688768520236	0.27893738140417457	0.28	0.2821497120921305
660	151	0.7259615384615384	0.38330595789459204	0.361244019138756	0.363855421686747	0.3700980392156863
690	160	0.7692307692307693	0.21642512077361084	0.20565552699228792	0.20618556701030927	0.20725388601036268
720	170	0.8173076923076923	0.23017408123860436	0.21963824289405684	0.22077922077922077	0.22457067371202113
750	178	0.8557692307692307	0.3131046613896218	0.2981574539363484	0.30016863406408095	0.306368330464716
