cut_off	num_rel	true_recall	SWIFT	SWIFT+forget0.1	SWIFT+forget0.2	SWIFT+forget0.5
30	6	0.5	0.00046603390082652354	0.00046143197723602246	0.0004633920296570899	0.00046849379245724994
60	7	0.5833333333333334	0.0012609831320494033	0.0012665098606839153	0.0013008734435978444	0.0014129995962858296
90	7	0.5833333333333334	0.001912859376471277	0.0019701660568533634	0.0020889286780065653	0.0025152712899748474
120	7	0.5833333333333334	0.002564492591924288	0.002711076684740511	0.0029686174724342664	0.003981797497155859
150	7	0.5833333333333334	0.0032158832350797162	0.003493013972055888	0.0039503386004514675	0.005932203389830509
180	9	0.75	0.004744259601258872	0.004707112970711297	0.004810261892036344	0.004909983633387889
210	12	1.0	0.002015752734375076	0.0019743336623889436	0.001973359644795264	0.0019611047556790323
240	12	1.0	0.0031321076869802655	0.003145478374836173	0.003244997295835587	0.003572491813039595
270	12	1.0	0.004245968192680161	0.00437636761487965	0.004662004662004662	0.005717008099094807
300	12	1.0	0.005357342163351616	0.005671077504725898	0.006243496357960458	0.008559201141226819
330	12	1.0	0.006466238111879031	0.007033997655334115	0.008005336891260841	0.012332990750256937
360	12	1.0	0.007572664582935882	0.008468595624558928	0.00997506234413965	0.01729106628242075
390	12	1.0	0.008676628722723366	0.00997506234413965	0.0121580547112462	0.023809523809523808
420	12	1.0	0.009778139932211907	0.011571841851494697	0.014598540145985401	0.03234501347708895
450	12	1.0	0.010877205965329605	0.013245033112582781	0.017316017316017316	0.04332129963898917
480	12	1.0	0.01197383495488039	0.015	0.020338983050847456	0.05741626794258373
510	12	1.0	0.013068034997707707	0.016853932584269662	0.023668639053254437	0.07547169811320754
540	12	1.0	0.014159814154723257	0.018808777429467086	0.0273972602739726	0.09836065573770492
570	12	1.0	0.015249180876599606	0.020833333333333332	0.031496062992125984	0.12631578947368421
600	12	1.0	0.0163361408910089	0.022988505747126436	0.03614457831325301	0.16
630	12	1.0	0.017420706387387068	0.02526315789473684	0.0410958904109589	0.2
660	12	1.0	0.01850288190122225	0.027649769585253458	0.04669260700389105	0.24489795918367346
690	12	1.0	0.019582679131387632	0.03015075376884422	0.05286343612334802	0.3
720	12	1.0	0.02066009744436556	0.03278688524590164	0.05970149253731343	0.35294117647058826
750	12	1.0	0.021735153134035644	0.03550295857988166	0.0670391061452514	0.41379310344827586
780	12	1.0	0.02280785117016644	0.038461538461538464	0.075	0.48
810	12	1.0	0.02387819928366277	0.04152249134948097	0.08391608391608392	0.5217391304347826
840	12	1.0	0.024946205193360906	0.04460966542750929	0.09375	0.6
870	12	1.0	0.02601187657891773	0.048	0.10434782608695652	0.631578947368421
900	12	1.0	0.027075221086401625	0.05150214592274678	0.11538461538461539	0.7058823529411765
930	12	1.0	0.028136246328592587	0.055299539170506916	0.1276595744680851	0.75
960	12	1.0	0.029194952626835805	0.059113300492610835	0.1411764705882353	0.75
990	12	1.0	0.030251359885868027	0.06315789473684211	0.15584415584415584	0.8
1020	12	1.0	0.031305482094050464	0.06741573033707865	0.17142857142857143	0.8571428571428571
1050	12	1.0	0.03235731973095712	0.07142857142857142	0.1875	0.8571428571428571
1080	12	1.0	0.03340686122740414	0.07643312101910828	0.2033898305084746	0.8571428571428571
1110	12	1.0	0.034454115366453396	0.08108108108108109	0.2222222222222222	0.9230769230769231
1140	12	1.0	0.03549911614432363	0.08571428571428572	0.24	0.9230769230769231
1170	12	1.0	0.03654185737978982	0.09090909090909091	0.2608695652173913	0.9230769230769231
1200	12	1.0	0.03758234639326108	0.0967741935483871	0.2857142857142857	0.9230769230769231
1230	12	1.0	0.03862057614576968	0.10256410256410256	0.3076923076923077	0.9230769230769231
1260	12	1.0	0.03965659687885347	0.10810810810810811	0.32432432432432434	0.9230769230769231
1290	12	1.0	0.04069036768979905	0.11428571428571428	0.35294117647058826	1.0
1320	12	1.0	0.04172191851026618	0.12	0.375	1.0
1350	12	1.0	0.042751246847569056	0.1276595744680851	0.4	1.0
1380	12	1.0	0.04377838978504377	0.13333333333333333	0.42857142857142855	1.0
1410	12	1.0	0.04480333998711632	0.1411764705882353	0.4444444444444444	1.0
1440	12	1.0	0.04582604663561998	0.14814814814814814	0.46153846153846156	1.0
1470	12	1.0	0.046846585476802566	0.15584415584415584	0.5	1.0
1500	12	1.0	0.04786495248208768	0.1643835616438356	0.5217391304347826	1.0
1530	12	1.0	0.04888114129931096	0.17142857142857143	0.5454545454545454	1.0
1560	12	1.0	0.04989516309326563	0.1791044776119403	0.5714285714285714	1.0
1590	12	1.0	0.050907015011958164	0.1875	0.6	1.0
1620	12	1.0	0.05191673466727559	0.19672131147540983	0.6	1.0
1650	12	1.0	0.052924297708124096	0.20689655172413793	0.631578947368421	1.0
1680	12	1.0	0.053929721537948415	0.21428571428571427	0.6666666666666666	1.0
1710	12	1.0	0.054933009557326544	0.22641509433962265	0.6666666666666666	1.0
1740	12	1.0	0.055934178503086074	0.23529411764705882	0.7058823529411765	1.0
1770	12	1.0	0.056933225157907566	0.24489795918367346	0.7058823529411765	1.0
1800	12	1.0	0.057930128925342904	0.2553191489361702	0.7058823529411765	1.0
1830	12	1.0	0.05892501195931349	0.26666666666666666	0.75	1.0
1860	12	1.0	0.05991771866710728	0.27906976744186046	0.75	1.0
1890	12	1.0	0.06090832224991441	0.2857142857142857	0.75	1.0
1920	12	1.0	0.06189690870768337	0.3	0.8	1.0
1950	12	1.0	0.06288338186797901	0.3076923076923077	0.8	1.0
1980	12	1.0	0.06386778253279748	0.32432432432432434	0.8	1.0
