cut_off	num_rel	true_recall	SWIFT	SWIFT+forget0.1	SWIFT+forget0.2	SWIFT+forget0.5
30	9	0.9	0.09183673469442286	0.08035714285714286	0.08108108108108109	0.08411214953271028
60	9	0.9	0.21634615384948247	0.18	0.1875	0.20930232558139536
90	10	1.0	0.34115138592750527	0.2777777777777778	0.2857142857142857	0.3125
120	10	1.0	0.4158790170243639	0.3448275862068966	0.35714285714285715	0.4
150	10	1.0	0.47538200341026826	0.4	0.4166666666666667	0.5
180	10	1.0	0.5238828967821957	0.43478260869565216	0.47619047619047616	0.5555555555555556
210	10	1.0	0.5641749053234619	0.47619047619047616	0.5263157894736842	0.625
240	10	1.0	0.5981794366442124	0.5	0.5555555555555556	0.6666666666666666
270	10	1.0	0.6272617611580109	0.5555555555555556	0.5882352941176471	0.7142857142857143
300	10	1.0	0.652418447694025	0.5555555555555556	0.625	0.7692307692307693
330	10	1.0	0.6743940990817573	0.5882352941176471	0.6666666666666666	0.8333333333333334
360	10	1.0	0.6937561953993676	0.625	0.6666666666666666	0.8333333333333334
